policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,energy_mode,algorithm_family,algorithm,intelligence_level,area_width_m,area_height_m,channel_model,run,seed
event_driven,20,349,499,16752,258.37,31.0,12.4,0.0,0.0,0.0,0.0,122.15,89.82,3.0,1.0,1.0,1.0,1.0,-0.6237,7,,-0.6237,0.6237,,,,6128,4,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.7899,0.05,0,0,0,0,0,0.002,11.103659161092521,53.561243568917035,53.561243568917035,19.0,19,19,0,1,1.0,18.58452189881388,9.487812366246175,55.0,20.0,0.819375,uncalibrated_reference,classical_baseline,event_driven,0,100,100,log_normal,0,201234
distributed_edge,20,349,499,16752,351.37,31.0,12.4,93.0,0.0,0.0,0.0,122.15,89.82,3.0,1.0,1.0,1.0,1.0,-0.6197,7,,-0.6197,0.6197,,,,6128,4,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.7899,0.05,0,0,0,0,0,0.002,11.103659161092521,53.561243568917035,53.561243568917035,19.0,19,19,0,1,1.0,18.58452189881388,9.487812366246175,55.0,20.0,0.819375,uncalibrated_reference,classical_baseline,distributed_edge,0,100,100,log_normal,0,201234
dstep,20,299,535,14352,340.35,31.0,12.4,93.0,0.0,0.0,0.0,104.65,96.3,3.0,1.0,1.0,1.0,1.0,-0.6197,7,0.7303,0.5807,-0.5807,,,,5144,2,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.3442,0.1125,0,0,0,0,0,0.002,11.103659161092521,53.561243568917035,53.561243568917035,19.0,19,19,0,1,1.0,18.58452189881388,9.487812366246175,55.0,20.0,0.819375,uncalibrated_reference,intelligent_dstep,dstep_0_local,1,100,100,log_normal,0,201234
dstep,20,319,574,15312,375.37,31.0,12.4,93.0,21.0,0.0,0.0,111.65,103.32,3.0,1.0,1.0,1.0,0.95,-0.6197,7,1.0303,0.5807,-0.5807,,,,5485,2,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.6659,0.1125,0,0,0,0,0,0.002,11.103659161092521,53.561243568917035,53.561243568917035,19.0,19,19,0,1,1.0,18.58452189881388,9.487812366246175,55.0,20.0,0.819375,uncalibrated_reference,intelligent_dstep,dstep_1_consensus,2,100,100,log_normal,0,201234
dstep,20,280,550,13440,357.4,31.0,12.4,93.0,21.0,0.0,0.0,98.0,99.0,3.0,1.0,1.0,1.0,1.0,-0.6197,7,0.9303,-6.7652,6.7652,,,,4763,7,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.8373,0.1125,0,0,0,0,0,0.002,11.103659161092521,53.561243568917035,53.561243568917035,19.0,19,19,0,1,1.0,18.58452189881388,9.487812366246175,55.0,20.0,0.819375,uncalibrated_reference,intelligent_dstep,dstep_2_voi,3,100,100,log_normal,0,201234
dstep,20,119,549,5712,396.42,31.0,12.4,93.0,21.0,72.8,22.75,41.65,98.82,3.0,1.0,0.95,0.9744,1.0,-0.6197,7,0.4864,-6.7652,6.7652,37.8897,10.4329,1.3986,1706,6,0,210,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.8331,0.2625,0,0,0,0,0,0.002,11.103659161092521,53.561243568917035,53.561243568917035,19.0,19,19,0,1,1.0,18.58452189881388,9.487812366246175,55.0,20.0,0.819375,uncalibrated_reference,intelligent_dstep,dstep_3_prediction,4,100,100,log_normal,0,201234
dstep,20,33,196,1584,292.805,31.0,12.4,93.0,21.0,65.2,20.375,11.55,35.28,3.0,1.0,0.95,0.9744,1.0,-0.6197,7,1.118,-1.067,1.067,38.9401,11.2029,1.4021,429,2,0,196,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.0747,0.2,0,0,0,0,0,0.002,11.103659161092521,53.561243568917035,53.561243568917035,19.0,19,19,0,1,1.0,18.58452189881388,9.487812366246175,55.0,20.0,0.819375,uncalibrated_reference,intelligent_dstep,dstep_4_network_adaptive,5,100,100,log_normal,0,201234
dstep,20,35,270,1680,314.7,31.0,12.4,93.0,21.0,71.2,22.25,12.25,48.6,3.0,1.0,1.0,1.0,1.0,-0.6197,7,1.2303,-0.6652,0.6652,38.9995,13.833,1.2515,352,26,17,270,channel_aware_adaptive,-15.0,-20.0,-10.0,-8.0,30,0,30,-74.2093,0.3625,20,20,20,0,0,0.002,11.103659161092521,44.2060789553146,53.561243568917035,12.3,3,19,0,1,1.0,8.121462803686116,0.01716140729035942,35.0,20.0,0.819375,uncalibrated_reference,intelligent_dstep,dstep_full,6,100,100,log_normal,0,201234
periodic,20,600,600,28800,403.88,31.0,12.4,0.0,0.0,0.0,0.0,249.48,108.0,3.0,1.0,1.0,1.0,1.0,0.0033,3,,0.0033,-0.0033,,,,10793,7,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.3769,0.05,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,calibrated,classical_baseline,periodic,0,100,100,log_normal,1,201235
event_driven,20,340,517,16320,280.832,31.0,12.4,0.0,0.0,0.0,0.0,141.372,93.06,3.0,1.0,1.0,1.0,1.0,0.0033,3,,0.0033,-0.0033,,,,5940,3,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.3926,0.05,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,calibrated,classical_baseline,event_driven,0,100,100,log_normal,1,201235
