policy,nodes,tx_packets,rx_packets,bytes_tx,link_delivery_attempts,link_delivery_successes,link_delivery_failures,link_pdr,collision_loss_rate,channel_loss_rate,sensitivity_loss_rate,out_of_range_loss_rate,energy_mj,energy_payoff_mj,payoff_decisions,payoff_compute_accepted,payoff_compute_rejected,payoff_transmit_accepted,payoff_transmit_rejected,payoff_optional_compute_skipped,payoff_estimated_tx_energy_saved_mj,payoff_reliability_overrides,energy_per_node_mean_mj,energy_per_node_std_mj,energy_cv,energy_jain_fairness,battery_residual_jain_fairness,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,battery_mode,battery_capacity_mah,battery_voltage_v,battery_initial_energy_mj_per_node,battery_alive_nodes,battery_dead_nodes,battery_mean_remaining_pct,battery_fnd_time_s,battery_hnd_time_s,battery_lnd_time_s,battery_mean_estimated_lifetime_s,battery_min_estimated_lifetime_s,battery_max_estimated_lifetime_s,precision,recall,f1,confirmation_precision,confirmation_recall,confirmation_f1,awareness_recall,false_confirmation_rate,false_awareness_rate,network_false_alarm,event_level_confirmed,event_level_alerted,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,mac_mode,mac_cca_busy,mac_backoff_events,mac_access_drops,mac_queue_enabled,mac_queue_capacity,mac_queue_enqueued,mac_queue_drops,mac_max_queue_depth,mean_mac_queue_delay_s,max_mac_queue_delay_s,mean_mac_service_time_s,max_mac_service_time_s,mac_reliability_enabled,mac_max_retries,mac_retry_tx_frames,mac_retries_scheduled,mac_retry_exhausted,mac_ack_timeouts,mac_ack_tx_frames,mac_ack_rx_frames,mac_ack_losses,mac_ack_collisions,mac_ack_channel_losses,mac_ack_below_sensitivity,mac_duplicate_data_rx,mac_retry_tx_energy_mj,mac_ack_energy_mj,mac_unicast_frames_started,mac_unicast_frames_success,mac_unicast_frames_failed,mac_unicast_queue_drops,mac_unicast_delivery_ratio,mac_unicast_confirmed_delivery_ratio,mac_unicast_data_frames_received,mac_unicast_data_delivery_ratio,mac_reliable_frames_started,mac_reliable_frames_success,mac_reliable_frames_failed,mac_reliable_queue_drops,mac_reliable_delivery_ratio,mac_reliable_data_frames_received,mac_reliable_data_delivery_ratio,mac_pending_requests,physical_link_pdr_per_attempt,physical_tx_frames,interfered_receptions,mean_sinr_db,min_sinr_db,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,communication_architecture,routing_packets,routing_sink_data_arrivals,routing_delivered,routing_no_route,routing_hops_attempted,routing_hops_successful,routing_hops_failed,mean_route_hops_delivered,event_model,run,seed
periodic,20,600,1640,28800,11400,1640,9760,0.1439,0.5391,0.317,0.0,0.0,2697.152,0.0,0,0,0,0,0,0,0.0,0,134.8576,0.0,0.0,1.0,,31.0,12.4,0.0,0.0,0.0,0.0,598.752,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2295,2,,0.2295,-0.2295,,,,6146,3614,0,0,csma_ca_lite,49,49,0,True,16,600,0,0,0.0,0.0,0.019026,0.084037,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1439,600,6422,-8.4517,-60.5544,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.3162,0.4875,332,310,331,234,1,distributed,0,0,0,0,0,0,0,,deterministic,0,6020000
event_driven,20,356,1008,17088,6764,1008,5756,0.149,0.5655,0.2855,0.0,0.0,1619.1795,0.0,0,0,0,0,0,0,0.0,0,80.959,2.3221,0.0287,0.9992,,31.0,12.4,0.0,0.0,0.0,0.0,355.2595,1217.52,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2295,2,,0.2295,-0.2295,,,,3825,1931,0,0,csma_ca_lite,24,24,0,True,16,356,0,0,0.0,0.0,0.016573,0.084033,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.149,356,4047,-6.3247,-55.0489,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.284,0.325,209,193,209,128,0,distributed,0,0,0,0,0,0,0,,deterministic,0,6020000
send_on_delta,20,159,498,7632,3021,498,2523,0.1648,0.5439,0.2913,0.0,0.0,748.8493,0.0,0,0,0,0,0,0,0.0,0,37.4425,1.7821,0.0476,0.9977,,31.0,12.4,0.0,0.0,0.0,0.0,158.6693,543.78,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2295,2,,0.2295,-0.2295,,,,1643,880,0,0,csma_ca_lite,8,8,0,True,16,159,0,0,0.0,0.0,0.009653,0.048603,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1648,159,1786,-3.6834,-53.3499,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.1396,0.55,88,80,88,60,0,distributed,0,0,0,0,0,0,0,,deterministic,0,6020000
teen_like,20,188,599,9024,3572,599,2973,0.1677,0.53,0.3024,0.0,0.0,876.969,0.0,0,0,0,0,0,0,0.0,0,43.8484,1.9766,0.0451,0.998,,31.0,12.4,0.0,0.0,0.0,0.0,187.609,642.96,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2295,2,,0.2295,-0.2295,,,,1893,1080,0,0,csma_ca_lite,11,11,0,True,16,188,0,0,0.0,0.0,0.010848,0.049521,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1677,188,2052,-3.3735,-53.3282,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.3947,0.675,105,94,104,72,1,distributed,0,0,0,0,0,0,0,,deterministic,0,6020000
distributed_edge,20,356,1008,17088,6764,1008,5756,0.149,0.5655,0.2855,0.0,0.0,1712.1795,0.0,0,0,0,0,0,0,0.0,0,85.609,2.3221,0.0271,0.9993,,31.0,12.4,93.0,0.0,0.0,0.0,355.2595,1217.52,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2335,2,,0.2335,-0.2335,,,,3825,1931,0,0,csma_ca_lite,24,24,0,True,16,356,0,0,0.0,0.0,0.016573,0.084033,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.149,356,4047,-6.3247,-55.0489,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.284,0.325,209,193,209,128,0,distributed,0,0,0,0,0,0,0,,deterministic,0,6020000
voi_baseline,20,95,356,4560,1805,356,1449,0.1972,0.4693,0.3335,0.0,0.0,559.1024,0.0,0,0,0,0,0,0,0.0,0,27.9551,2.0346,0.0728,0.9947,,31.0,12.4,93.0,0.0,0.0,0.0,94.8024,324.9,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2335,2,,0.2335,-0.2335,,,,847,602,0,0,csma_ca_lite,5,5,0,True,16,95,0,0,0.0,0.0,0.007224,0.025765,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1972,95,931,-1.4654,-51.5735,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.3541,0.65,49,40,49,38,0,distributed,0,0,0,0,0,0,0,,deterministic,0,6020000
dstep,20,35,110,1680,665,110,555,0.1654,0.4647,0.3699,0.0,0.0,391.5722,0.0,0,0,0,0,0,0,0.0,0,19.5786,0.5952,0.0304,0.9991,,31.0,12.4,93.0,21.0,58.32,18.225,34.9272,119.7,3.0,ideal,,,,20,0,,,,,,,,1.0,0.95,0.9744,1.0,0.95,0.9744,1.0,0.0,0.0,0,1,1,1.0,0.2335,2,1.3315,-0.9035,0.9035,27.8193,3.9314,0.9431,309,246,0,110,csma_ca_lite,0,0,0,True,16,35,0,1,0.000146,0.000728,0.005012,0.017028,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1654,35,323,-1.9567,-48.6885,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.1604,0.5789,17,15,17,15,0,distributed,0,0,0,0,0,0,0,,deterministic,0,6020000
dstep_payoff,20,40,148,1920,760,148,612,0.1947,0.4474,0.3579,0.0,0.0,360.1468,9.38,938,130,618,149,41,618,40.9147,36,18.0073,0.4448,0.0247,0.9994,,31.0,12.4,93.0,21.0,10.4,3.25,39.9168,136.8,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2337,2,1.1837,-1.1052,1.1052,26.5973,5.1639,0.8524,340,272,0,150,csma_ca_lite,2,2,0,True,16,40,0,1,0.000212,0.002648,0.005468,0.017028,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1947,40,361,-0.9773,-46.8275,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.2741,0.6625,19,17,19,19,0,distributed,0,0,0,0,0,0,0,,deterministic,0,6020000
periodic,20,600,1022,28800,11400,1022,10378,0.0896,0.5473,0.3631,0.0,0.0,2697.152,0.0,0,0,0,0,0,0,0.0,0,134.8576,0.0,0.0,1.0,,31.0,12.4,0.0,0.0,0.0,0.0,598.752,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.9289,5,,-0.9289,0.9289,,,,6239,4139,0,0,csma_ca_lite,50,50,0,True,16,600,0,0,0.0,0.0,0.019697,0.083998,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0896,600,6479,-10.6929,-58.0406,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-90.4475,0.25,335,308,335,229,0,distributed,0,0,0,0,0,0,0,,deterministic,1,6020001
event_driven,20,316,513,15168,6004,513,5491,0.0854,0.5693,0.3453,0.0,0.0,1441.6311,0.0,0,0,0,0,0,0,0.0,0,72.0816,2.1156,0.0294,0.9991,,31.0,12.4,0.0,0.0,0.0,0.0,314.5111,1080.72,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.9289,5,,-0.9289,0.9289,,,,3418,2073,0,0,csma_ca_lite,15,15,0,True,16,316,0,0,0.0,0.0,0.01381,0.079813,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0854,316,3553,-9.2756,-60.322,channel_aware_adaptive,20.0,20.0,20.0,19.5455,2,1,1,-90.3948,0.2625,183,174,183,121,0,distributed,0,0,0,0,0,0,0,,deterministic,1,6020001
